IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP25;IP_PROP26;IC_GROUP0;IC_GROUP1;IC_GROUP2
364;almaz-antey;317;Y;;;/upload/iblock/728/728e35e0ff8f722dccc8c94c560d369d.jpg;"<h4>Air and Space Defence Corporation</h4>
<h5>Arms production</h5>
<h6>Russia</h6>";html;;;text;;500;;http://www.almaz-antey.ru/en/;;Russia;;
365;lukoil;318;Y;;;/upload/iblock/1a4/1a4427c9d726c07546fa1b0717f5046a.png;"<h4>LUKOIL&nbsp;company</h4>
<h5>Oil and Gas Processing</h5>
<h6>Russia</h6>";html;;;text;;500;;https://www.lukoil.com/;/upload/iblock/183/18325d7b086bb13eb99686184c0e0c97.svg;Russia;;
366;roscosmos;319;Y;;;/upload/iblock/e1e/e1e645f87b8a57961c0ffed1c61881d5.png;"<h4>Russian Federal Space Agency</h4>
<h5>Space and Rocket Industry</h5>
<h6>Russia</h6>";html;;;text;;500;;http://en.roscosmos.ru/;/upload/iblock/432/432435175c3882df976b419b87b2b139.svg;Russia;;
367;gazprom;320;Y;;;/upload/iblock/460/460fb1f29007f2a2bcf05e47f5a7ef34.png;"<h4>JSC ""Gazprom"" </h4>
<h5>Oil and Gas Processing</h5>
<h6>Russia</h6>";html;;;text;;500;;https://www.gazprom.com/;/upload/iblock/190/190961138b1daec02f6e0f3c323c384d.svg;Russia;;
368;russian-railways;321;Y;;;/upload/iblock/7e9/7e980a46f47c55edc079a275e34742b6.png;"<h4>Russian Railways</h4>
<h5>Transport machine building</h5>
<h6>Russia</h6>";html;;;text;;500;;https://eng.rzd.ru/;/upload/iblock/9fd/9fd84aba3695027d97477ebf823b4459.svg;Russia;;
369;rosatom;322;Y;;;/upload/iblock/d32/d32e9e05542f54d31f7e08ecaa1f38ba.png;"<h4>Electric Power Division of ROSATOM</h4>
<h5>Nuclear industry</h5>
<h6>Russia</h6>";html;;;text;;500;;https://www.rosenergoatom.ru/en/;/upload/iblock/6c6/6c66836c7f979bfac56b99d65e6db981.svg;Russia;;
370;tvel;323;Y;;;/upload/iblock/b09/b09ced2de02078968dfd6f400d59e4f7.png;"<h4>JSC ""TVEL""</h4>
<h5>Nuclear industry</h5>
<h6>Russia</h6>";html;;;text;;500;;https://tvel.ru/en/;/upload/iblock/116/116f400bb282b4e7de2194ad19267330.svg;Russia;;
371;rostec;324;Y;;;/upload/iblock/410/410212a81e6985e693788285a3253c5b.png;"<h4>State Corporation «Rostec»</h4>
<h5>Machine building</h5>
<h6>Russia</h6>";html;;;text;;500;;https://rostec.ru/en/;/upload/iblock/046/0460a6eefba36207083b49c00202b0f7.svg;Russia;;
372;helicopters;325;Y;;;/upload/iblock/8ca/8ca943ac71987323da5d3af74dd8a291.png;"<h4>JSC «Russian Helicopters»</h4>
<h5>Transport machine building</h5>
<h6>Russia</h6>";html;;;text;;500;;https://www.russianhelicopters.aero/en/;/upload/iblock/663/663505f397feb68aed063970b4276584.svg;Russia;;
373;rusal;326;Y;;;/upload/iblock/c53/c5317119a321b485c4a5c39aa7c265a7.png;"<h4>United Company RUSAL</h4>
<h5>Non-ferrous metallurgy</h5>
<h6>Russia</h6>";html;;;text;;500;;https://rusal.ru/en/;/upload/iblock/99d/99d73f4646f72bf124d826e41deb4d13.svg;Russia;;
374;nornickel;327;Y;;;/upload/iblock/4f7/4f7d46aaedd33104e620d5e9f39396e6.png;"<h4>PJSC MMC Norilsk Nickel</h4>
<h5>Non-ferrous metallurgy</h5>
<h6>Russia</h6>
 <br>
 <br>";html;;;text;;500;;https://www.nornickel.com/;/upload/iblock/c50/c504f6580f34f7accc14aa99f4e80f3d.svg;Russia;;
375;rosneft;328;Y;;;/upload/iblock/468/4680b07ad0888cdeccde01cc5882a5d1.png;"<h4>ROSNEFT</h4>
<h5>Oil and Gas Processing</h5>
<h6>Russia</h6>";html;;;text;;500;;https://www.rosneft.com/;/upload/iblock/b5f/b5f8b6627a53aa04e9fe8a9f3aae1e17.svg;Russia;;
376;power-machines;329;Y;;;/upload/iblock/1a5/1a542a8e456fe0311e6276794245825f.png;"<h4>JSC ""Power Machines""</h4>
<h5>Machine building</h5>
<h6>Russia</h6>";html;;;text;;500;;http://english.power-m.ru/en/;/upload/iblock/018/01894a8fa538d531e9ac14f527f2d4c9.svg;Russia;;
377;transneft;330;Y;;;/upload/iblock/6c4/6c415330b6bed31b713c919c3005df48.png;"<h4>PJSC «Transneft»</h4>
<h5>Oil and Gas Processing</h5>
<h6>Russia</h6>";html;;;text;;500;;https://en.transneft.ru/?re=en;/upload/iblock/52a/52a964ebf4d6c64e36abfb01b4b8a1c7.svg;Russia;;
378;evraz;331;Y;;;/upload/iblock/2cb/2cbc0733dc42d739c58e27fb8a119f73.png;"<h4>Evraz Group</h4>
<h5>Ferrous metallurgy</h5>
<h6>Russia</h6>";html;;;text;;500;;https://www.evraz.com/en/;/upload/iblock/66f/66f173e154f830f5b47e326f3805efc6.svg;Russia;;
379;epc;332;Y;;;/upload/iblock/cdc/cdce1c70e86c96d54182b126086162b0.png;"<h4>EPC Company</h4>
<h5>Machine building</h5>
<h6>Russia</h6>";html;;;text;;500;;https://epkgroup.ru/en/;;Russia;;
380;usc;333;Y;;;/upload/iblock/c96/c96e489e640a67689e2a4eb53b97d56a.png;"<h4>JSC ""United Ship Corporation""</h4>
<h5>Shipbuilding</h5>
<h6>Russia</h6>";html;;;text;;500;;https://www.aoosk.ru/en/;/upload/iblock/da0/da0276a58627051037de15a3753b28e2.svg;Russia;;
381;ktrv;334;Y;;;/upload/iblock/de1/de189635f71cbfb21cfe61c118902a22.png;"<h4>JSC TACTICAL MISSILES CORPORATION</h4>
<h5>Arms Production</h5>
<h6>Russia</h6>
 <br>
 <br>";html;;;text;;500;;http://eng.ktrv.ru/;;Russia;;
382;kolomzavod;335;Y;;;/upload/iblock/2a9/2a90966a8ab3502c10fcb903a3715eed.png;"<h4> JSC “Kolomensky Zavod”</h4>
<h5>Transport machine building</h5>
<h6>Russia</h6>";html;;;text;;500;;http://www.kolomnadiesel.com/en/;/upload/iblock/ac9/ac98416a8ef6adfd6a2506a9eddf6cfb.svg;Russia;;
383;kamaz;336;Y;;;/upload/iblock/319/3194983654cea6c0cade3ce0249af584.png;"<h4>KAMAZ PTC</h4>
<h5>Automotive industry</h5>
<h6>Russia</h6>";html;;;text;;500;;https://kamaz.ru/en/;;Russia;;
384;admiralty-shipyards;337;Y;;;/upload/iblock/6af/6af6a9bb6593e0af4c4eec961094996d.png;"<h4>JSC «Admiralty Shipyards»</h4>
<h5>Shipbuilding</h5>
<h6>Russia</h6>";html;;;text;;500;;http://admship.ru/en/;/upload/iblock/8c0/8c00b125aa7398a2c08773e5625e8002.svg;Russia;;
385;avtovaz;338;Y;;;/upload/iblock/cd6/cd6c5f57c0307efb666c8d56987cf99b.png;"<h4>JSC ''AVTOVAZ''</h4>
<h5>Automotive industry</h5>
<h6>Russia</h6>";html;;;text;;500;;http://info.avtovaz.ru/;/upload/iblock/e42/e424b8b2ae5baac8902e98fccc811b37.svg;Russia;;
386;mig;339;Y;;;/upload/iblock/691/691a05b602574e4470e5a5e0e45d9ae1.png;"<h4>FSUE ""MIG Russian Aircraft Corporation""</h4>
<h5>Aircraft engineering</h5>
<h6>Russia</h6>";html;;;text;;500;;https://www.migavia.ru/index.php/en/;;Russia;;
387;gctc;340;Y;;;/upload/iblock/70a/70a38fe2bb5cc7f85bce99307bed71aa.png;"<h4>State Organization ""Gagarin Research&amp;Test Cosmonaut Training Center""</h4>
<h5>Space and Rocket Industry</h5>
<h6>Russia</h6>
 <br>
 <br>";html;;;text;;500;;http://www.gctc.su/;/upload/iblock/ca8/ca8f6ed27738a127da0adc57371be6ba.svg;Russia;;
388;sevmash;341;Y;;;/upload/iblock/0bd/0bd93e4507bd6685525e8501aa48bd27.png;"<h4>PA «SEVMASH»</h4>
<h5>Shipbuilding</h5>
<h6>Russia</h6>";html;;;text;;500;;http://www.sevmash.ru/;;Russia;;
389;severstal;342;Y;;;/upload/iblock/fbd/fbdab71bd7e87de775b5efcb4560baaa.png;"<h4>PAO Severstal</h4>
<h5>Ferrous metallurgy</h5>
<h6>Russia</h6>";html;;;text;;500;;https://www.severstal.com/eng/;/upload/iblock/cae/cae33f702d8b7fdecb7edf9db461ddff.svg;Russia;;
390;tatneft;343;Y;;;/upload/iblock/c55/c55a56aee7abecfb34f3187be57b71d5.png;"<h4>PJSC TATNEFT</h4>
<h5>Extractive industry</h5>
<h6>Russia</h6>";html;;;text;;500;;http://www.tatneft.ru/?lang=en;/upload/iblock/794/794eb9fde80574fab0b698dbbd3560b1.svg;Russia;;
